en,dz_preferred,confidence,coverage,carriers,dz_candidates,review,dz_variants,notes
damcho,དམ་ཆོས་,high,1.00,0,,YES - not in corpus,,
tobgay,སྟོབས་རྒྱལ་,high,1.00,0,,YES - not in corpus,,
gyem,མགོནམོ་,high,1.00,0,,YES - not in corpus,,
sithar,སི་ཐར་,high,1.00,0,,YES - not in corpus,,
leki,ལས་སྐྱིད་,high,1.00,1,,YES - not in corpus,,
lhaki,ལྷ་སྐྱིད་,high,1.00,1,,YES - not in corpus,,
pelden,དཔལ་ལྡན་,high,1.00,2,,YES - not in corpus,,
rigzin,རིག་འཛིན་,high,1.00,0,,YES - not in corpus,,
singye,སེང་གེ་,high,1.00,4,སེང་གེ,YES,,
singye dorji,སེང་གེ་རྡོ་རྗེ་,low,0.25,4,སེང་གེ་རྡོ་རྗེ་(0.25) | བསྟན་འཛིན་རྣམ་རྒྱལ་(0.25) | བྲག་(0.25),YES,,
sangye,སངས་རྒྱས་,high,1.00,17,སངས་རྒྱས་(1.00),YES,,
